no.,title,date,time,planner,category,tag,comment,keyword
#2,蘭たんvsすぎるガチラップバトル,2017/3/4,80分?,蘭たん,歌回／実写,涙_塩分_マルゲリータ…／まもりたい～買いたてやから～／ねじねじって顔にならへんやんか／地獄回／伝説の始まり／衝撃の生放送,企画会議特別篇の振り返り＆白熱ラップバトル！ＤＪシューとハッチakaも参戦！！ トークテーマ・例のアレの歌詞について・グッズ・時報,缶バッチ／グッズ企画／焼酎うめぇ／しんすけ／メロンパン／ラップバトル／hacchiの手
#3,優しい蘭たんの回,2017/03/18,70分?,蘭たん,歌回／実写,ベルのおじさん／俺は暴力男／たべたの？／ホワイドデー／するるくん／悪魔のビデオ／血を吐く／ナポリは添えるだけ／デッ3,ホワイトデーに因んだマル秘青春時代トーク＆蘭たんの優しさ溢れる動画　トークテーマ　・すぎるのボツ歌詞披露・世の中はホワイトデーらしいですが・・・,俺は暴力男／ホワイドデー／するるくん／ランドセル／ちぎられた／学校の女の子の絵本／
#4,shu3の爽やかシモネタ回,2017/3/25,80分～,shu3,オリキャラ／歌回／実写,ティニス／シューゲラー／SGR式／そして伝説へ／子宮が曲がる回／コード（高度）／伝説の始まり／特殊ED回／ギスギス回,shu3が自信を持ってお送りする下ネタ大乱舞　トークテーマ　・もの申す男たち・オチが理解できるかクイズ,
#5,ナポリの男たち新メンバーオーディション,2017/4/1,80分～,ナポリ,オリキャラ／歌回／,ローション大蛇／さだ民生／白ニットセンター分け／トゥイ／神回／内臓明／黒板五郎／スーパー銭湯／闇プ,ついに新メンバー加入！？　トークテーマ　・世の中は４月、新生活が始まりますが・・・,
#6,すぎるの今夜は恋してナイト,2017/4/8,90分～,すぎる,,グール／52:13／540円／牛脂／神回／いい夢見れましたか？／上履きウォッチャー／ヤリのアーティファクト／THEチョコ,メンバー１のピュアボーイすぎるの赤裸々恋愛トーク！ TSの音声が数カ所破損していたので一部録画ファイルをつなぎ合わせています　トークテーマ　・ナポ男のおすすめ・恋バナ,
#7,hacchi作・恋愛ゲー『ラブラブ恋してる』鑑賞会,2017/4/15,70分～,hacchi,自作ゲーム／オリキャラ／実写,ハートくん／マンキーモンキー／梅干しの妖怪／牛脂／バーバリアン／ワナオトコ／にゃろめ,hacchi渾身の恋愛ゲー　トークテーマ　・ナポ男のセンス王・オススメ結果発表,
#8,芸術家蘭たんの才能開花,2017/4/22,80分～,蘭たん,実写／料理／オリキャラ／,角刈り警察／ナポルフ神話／神回／角刈り警察初出動回,蘭たんが描く衝撃のナポルフ神話　トークテーマ　・ナポ男のめっちゃ好きやねんウチ・ナポ男のオススメ・世の中ではポテチが無くなるそうですが・・・,今週の塩／亀戸組／イボーン／タカ／両面焼き／hacchiの手
#9,上流貴族shu3による「上品ネタ」披露会,2017/4/29,80分～,shu3,実写,お兄様／ルイshu3世／ファッションチェック／角刈り警察／破壊チャリ／パンプス追いかけおじさん／参加できてない,上流貴族shu3の美しく貴きネタ披露　トークテーマ　・オススメ振り返り・辛口おすぎのファッションチェック・バイトの話,ファッション
#10,すぎるのわんぱく子供番組！,2017/5/6,80分～,すぎる,実写／歌回／,しらないおじさん／おじさんのうた／1:09:36~／溺れるshu3／鼻うがい／人でなしサイコパス,すぎる制作の子供向け番組上映　トークテーマ　・オススメ振り返り・夜会の振り返り・世間は大型連休真っ只中ですが・・・,くるまくん
#11,hacchiと学ぶUNKの歴史,2017/5/13,110分～,hacchi,実写／紙芝居,BEN／がんばろう！！タカシくん／51:40／ドイツフェスタ／クソ回／キャシー,hacchiが図書館に篭って調べ上げたうんこの歴史を教えます　トークテーマ　・オススメ振り返り・恥ずかしい話,
#12,風邪ひき蘭たん励ます回,2017/5/20,100分～,ナポリ,歌回／実写／紙芝居,角刈り警察／涙の夜／やんねん…／98：00／外見の話ですかぁ？／玉が氾濫／心はないんか！／蘭たん不在回／黙れ化物語,風邪ひき蘭たんをみんなで励まそう　トークテーマ　・オススメ振り返り・めっちゃ好きやねんウチ・すぎるとshu3の角刈り警察24時,
#13,蘭たん奇病にかかるの巻,2017/5/27,90分～,蘭たん,紙芝居,がんばろう！！ヨハンくん／肛門回／神回／Booooom／体育岡崎／５本ともぉ！？／病ジャック・オ・蘭たん,奇病動画　トークテーマ　・蘭たんが肛門科に行った話・前回の放送振り返り・感謝トーク・かっこいいもの,岡崎体育／今週の塩／コイケヤ／revin
#14,shu3ねっとり回,2017/6/3,80分～,shu3,歌回／実写,Dream_Fire／冒涜やでこれぇ！！／ザッザッ／豚畜生先生／山内くん／そんな翔太も３７歳／ちんげの集合体／73:52,shu3のねっとりとした話　トークテーマ　・１周年記念グッズプレゼント・１周年記念配信・shu3のねっとり話,
#15,一周年記念24時間配信,,,,,,,
#16,すぎるのオススメ100連発！,2017/6/17,100分～,すぎる,,胸筋shu3／フンギセッキ／やらしてもらってる／家の中の電柱／shu3の胸筋／マウスパッド／乳のノイズ／Bluetoothのチェー／中井貴一,すぎるのオススメ１０００連発　トークテーマ　・マウスパッドデザインコンペ・１周年記念配信振り返り,グッズ企画
#17,hacchiのオリジナルスタンプ発表,2017/6/24,100分～,hacchi,オリキャラ,ペンチマン／終焉のボタン／サンキュー&ペンチ！／マリオ(すぎる)／あれおれもうおれあれあれ／ドラゴン山上／LINEスタンプ／ペンチマン初登場,hacchi制作オリジナルスタンプ（非売品）　トークテーマ　・今やネットに慣れたわれわれですが・・・・ゲームの思い出（夏）,
#18,蘭たんの人間失格,2017/7/1,100分～,蘭たん,歌回／オリキャラ／自作ゲーム,解放～リベレーション～／cwニコル／走れオロチ／天童アキ子／森羅万象エロ本／サイコパスラーすぎる／すぎる絵描きうた／広島の狂犬,蘭たん制作のマル秘文学　トークテーマ　・shu3が最近おかしい・・・・旅,
#19,shu3の『好みのタイプ探してきました』,2017/7/8,90分～,shu3,歌回／紙芝居／オリキャラ,解放～リベレーション～／外科医／ハントシィ↑／元気なおっさん／真剣30代しゃべり場／マウスtoマウス／合法ロリ／おねじり様,shu3がナポリの女たちを連れてくる　トークテーマ　・開放リベレーション・真剣30代しゃべり場,
#20,すぎるの夏休みの自由研究,2017/7/15,80分～,すぎる,実写,セキジュンコ／クソモノマネ大会／ﾋﾞｰｽﾞﾅｧｲ！／すーさん／hacchi専用動画／ｶﾞﾝﾀﾞﾑﾐﾀｲﾅﾊﾅｼﾔｧ…／タイムマシン／神回／hacchiを脱がした男,すぎるの自由研究発表会　トークテーマ　・動画を投稿しました・海開きシーズンですが最近何を開いた？・29連勝が話題になっていますが・・・,
#21,hacchiの思うナポ男の20年後…。,2017/7/22,70分～,hacchi,紙芝居,ハリケーンすぎる／汁沢博士／春は☆けだもの／ガウチョ／オーガ〇ズム／殺しのポイント／ネットあんじゃ～ん／ソーダ電球／謎の感動,hacchiの想像するナポリの２０年後の未来とは　トークテーマ　・オススメ振り返り・いつか行きたいねナポリ・雹が降りましたが・・・・,オーガニズム／春はｋだもの／アイコス
#22,蘭たん10周年,2017/7/29,120分～,蘭たん,紙芝居／実写／歌回／自作ゲーム／オリキャラ,宿徳／蟹工船の男たち／わいやすぎや／ペンチマン／いいじゃない／戒厳する子猫／出し抜けレトロ／発注ミス／特殊ed回,蘭たん１０周年をお祝いしよう＆蘭たんが１０年前に連載していたラノベとは・・・,涙の夜ペンチマンVer.
#23,ナポ男、真夏の怪談スペシャル,2017/8/5,100分～,ナポリ,紙芝居／オリキャラ,放送事故／VR／じょぼにゃん／トゥイ／インド人さん登場回／何卒／VR肛門科／過失割合／雑学回,みんなでVRホラーを体験しよう　トークテーマ　・ナポリの男たちの『階段』,
#24, shu3のいきおいよくやる回！！！,2017/8/12,90分～,shu3,実写,塩顔警察24時／VR王様ゲーム／ドヤ顔ですかね／44:45／角刈り警察／神回／でゅｗ／金粉／すぎるDEマンボ,shu3が勢いに任せてなんかやるぞ　トークテーマ　・もうすぐお盆ですが・・・・10年のゲーム遍歴・前世占い,
#25,すぎるの『S-Studio』,2017/8/19,90分～,すぎる,歌回,涙の夜／問題作／蝕をしたい／チンチムリン／フライドマクドおいもさん／ｳｪｲｳｪｲｳｪｲ／公開反省会／涙の夜（shu3バージョン）／大阪恋特急,すぎるの画期的トーク生番組　トークテーマ　・動画投稿告知・ナポ男の二次元女性遍歴,
#26,hacchi作の『すごろく』で遊ぼう,2017/8/26,80分～,hacchi,自作ゲーム／オリキャラ,綺麗な逆ギレ／尿意の計算／クソ果樹園／えなりループ／えなりトライアングル／揉んだらええやん／またナポリ／特殊ED回／1:21:03,hacchiの奇想天外すごろく　トークテーマ　・最後の締めの挨拶会議・動画あげました,
#27,ROCK破羅嘆DIEボーカルのゲスな夜遊び,2017/9/2,90分～,蘭たん,オリキャラ／紙芝居／実写,shu4／エロの伝道師／チキンオーバーライス／右手で画面端／サタン蘭／予測変換が気になる動画／ウメサキ／げんた／特殊ed回,ROCK破羅嘆DIEボーカルが登場　トークテーマ　・甲子園の高校野球が話題ですが・・・・ナポ男の意外に〇〇・最近のゲーム事情,hacchiの手
#28,shu3作のゆるキャラ回,2017/9/9,90分～,shu3,オリキャラ,笑みがこぼれた／オギャたん／しょうもなペンギン／ピーズのチザ／ギリシャ彫刻／パン／信号哲学／hacchi情緒不安定回／角刈り警察定休日,shu3作ゆるキャラ発表会　トークテーマ　・ナポ男の人生哲学・忘れられない一言・もう夏も終わりですが・・・,
#29,近畿北部連合総督・怒羅権過流(ドラゴンすぎる)の硬派一直線,2017/9/16,90分～,すぎる,オリキャラ／歌回,可愛い(ワンパンで倒せそう)／ぐにゃあ／あ^^;／怒羅権過流(ドラゴンすぎる)／どんぐりのマウント／はっ！(絶命)／ｲﾙｯ！／神回／みかん（笑）,硬派実況者すぎる　トークテーマ　・ナポ男のオススメ・ナポ男のモテ期,ちょい／囲炉裏／スパーク／P
#30,hacchi動物園へようこそ!!,2017/9/23,80分～,hacchi,オリキャラ／紙芝居,パウルクリー／こらー！／しげき／ワァオ！！！！／イキリOL／やめてね？／shu3＝兎説／山岸／1:04:19,hacchiが園長の動物園へようこそ！　トークテーマ　・ナポ男の(く)・挫折したこと,
#31,蘭たんの考える半沢直樹,2017/9/30,110分～,蘭たん,実写／料理回／自作ゲーム／オリキャラ,スコる／スペースギャング坪井／スコッティ／シュレディンガーのスコ／アフガンの瓦礫／TRPG／デスホーン／ブラッドバッファロー鈴山／バイオレンスピエロ岡田,半沢直樹を１ミリも知らない蘭たん制作の半沢直樹　トークテーマ　・ナポ男の一日・動物の話,しんすけ／ヘルシオ／TRPG
#32,shu3のクイズ王！,2017/10/7,110分～,shu3,,方言クイズ／神回／AVクイズ／焼死体くん／じゃんじゃんころしてつかあさい／じゃろ？／甘栗むかされてます(´;ω;｀)／ころされちゃいます＾＾／お前OLじゃないだろ,shu3制作のクイズ番組　トークテーマ　・ナポ男のオススメ・ナポ男の日常これどうなん？,
#33,料理アドバイザーすぎるの『負けるな女子！』,2017/10/14,80分～,すぎる,,ペニ丼／どっこい正太郎／キスしてハグして／公開反省会／フジハラノリカ／多国籍／あの星を求めて／問題作／お料理回,すぎるのお料理番組　トークテーマ　・ナポ男の九死に一生・ナポ男の恥ずかしかった話・ナポ男の総選挙,ルーツ
#34,hacchiのえほん ～たのしいおりょうり～,2017/10/21,90分～,hacchi,歌回／紙芝居／料理回／実写,キビヤック系男子／ポテサラ論争／ボノボ系男子／ブツ藻くん／俺をやめろ／ゴーヤくん／ダークヘッジ丼／マブダチ、オレタチ。／お料理回,hacchiのたのしいお料理絵本　トークテーマ　・ナポ男のサジェストクイズ・ナポ男の旅行計画・ナポ男の〇〇系男子,今週の塩／最終兵器俺達／茸／FB777／キヨ／hacchiの手
#35,ハロウィン企画・仮面雑談会＆蘭たんのお習字ハロウィン,2017/10/28,90分～,蘭たん,ボイチェン／実写,排水溝ボイス／モテの共産主義／角刈り警察／けじめなさいよ／カマ回／クソボノボ／いったろかな／俺をやめろ／ボイチェン回,蘭たんのお習字　トークテーマ　・もの申す男たち・仮面雑談会,
#36,shu3の成猿人向けビデオ,2017/11/4,90分～,shu3,紙芝居,ご長寿クイズ／ビスケット社／カードどす／犬になってもいいですか？／チャウネン・テ・ランタン／無職になってもいいですか？／ぺろぺろしてしまう,shu3クソボノボ　トークテーマ　・穴埋めクイズ・今だから言える話,穴埋め回／
#37,すぎるの愛情弁当,2017/11/11,90分～,すぎる,料理回／実写,ジャバみ／甘栗パターン／パッター／弁当回／セルフネグレクト／冒頭ドッキリ企画／はっちゃんに届け／神回／お料理回,すぎるがhacchiに送った愛情弁当　トークテーマ　・ナポ男の超パーティ・ナポ男の食生活,食べ物の話
#38,hacchiのナポリカレンダー発表,2017/11/18,90分～,hacchi,,電気棒／11:40／バイオテロ／としか思えない／キャプテン部主将／コストコン／恋していいよ免許,hacchi制作のナポ男カレンダー発表会　トークテーマ　・蘭たんが盗聴してたナポ男の素トーク・ナポ男のお悩み相談,しんすけ／ヤス／今週の塩／すぎるVS塩
#39,蘭たんの「パスギルドッコイショ！」,2017/11/25,80分～,蘭たん,実写／紙芝居／オリキャラ,ボノ坊／豚畜生先生／金ならあるでガハハ／パスギルドッコイショ！／はっちゃん／間に合ってん／角刈り姉妹／サイコパスラーすぎる／バイノーラルレイプ,蘭たんの作る子供番組　トークテーマ　・カレンダーコンペ・ナポ男の一番幼い記憶・ナポ男の一番食べたいもの,しんすけ／まお／今週の塩
#40,shu3の「ナポ男かるた」,2017/12/2,90分～,shu3,,雪兎さん／shu3の耳かきボイス／終焉のボタン／84:55／焼きうどん／関ダニ∞／菅田将暉,shu3がナポ男かるたを作ってきたぞ　トークテーマ　・ナポ男のファッションチェック～クリスマスデート編～・冬の思い出,ファッション
#41,すぎるの昭和感動ヒストリー,2017/12/9,120分～,すぎる,,お通じLINE／ダエモン／放送事故／男優／無限を描くな／生徒会副長／でたのー？／プロンプトン／コメ非表示推奨,すぎるのサッカー部時代の友人紹介トークテーマ・ナポ男のマイブーム遍歴・ナポ男の背伸びして買っちゃいましたでヤンス,
#42,hacchiのナポ男心理分析,2017/12/16,90分～,hacchi,,通知簿／オリエンタルゴースト／琵琶湖かコンソメ／呪怨でも金／タニシ／公開告白／肩幅スルー／ミリミリミリ／ねえ！,hacchiのナポ男心理分析　トークテーマ　・来週はクリスマス配信・ナポ男のこんなクソゲーありました・ナポ男の楽しみにしてること,草だこれ／ガッチマン／3Dすぎる
#43,かま騒ぎ反省会,2017/12/24,60分～,蘭たん,,聖夜の懺悔／かま騒ぎ本編→sm32475248／チュパカブラ／神回／あ～～、サンキュ／ecchi／43:30?／ワイやすぎや／公開セクハラ,クリスマスかま騒ぎSP後の大反省会（タイムシフトのコメントが大きく遅延していたので前半部分コメントがありませんごめんなさい！,
#44,蘭たん主催・年末ヒットソングメドレー,2017/12/29,90分～,蘭たん,歌回,ヌメ乗りジョニー／神回／ワン・エイト・ディスコ／はつ桜／nocchi／年末ヒットソング回／初高槻／すぎるだった件／特殊ed回,(音声少し小さめです)蘭たんプレゼンツ2017ベストヒット歌謡祭　トークテーマ　・誕生日だったらしいじゃない？・今年の振り返り：一番〇〇だったこと・来年の抱負,
#45,shu3のインスタ映え年越し旅行記,2018/1/6,90分～,shu3,歌回／実写／料理,陰スタ映え／ジャムおじちゃん／shu3（浜田）／その発想はなかった／仮歌披露会／かにみその悲劇／んこ～～／誰か死んだの？／角刈り戦争,shu3のインスタ映え旅行記　トークテーマ　・蘭たんの仮歌披露・夜会振り返り・お正月の過ごし方・ナポ男の初夢,
#46,すぎるの大学生活,2018/1/13,90分～,すぎる,実写,シールドヒッポ／問題作／ジョワ／ティッシュ／高槻市／沈めんねん／ティッシュいる？／ﾊｰｲ／すぎるのすいませんでした,すぎるのすいませんでした　トークテーマ　・ナポ男の戌年・ナポ男のお年玉使いみち・ナポ男の成人(式),
#47,ナポ男のオリジナルスタンプ発表回,2018/1/20,100分～,ナポリ,オリキャラ,文字ぎゅうぎゅう罪／LINEスタンプ／神回／サイコパス裁判／犯罪のデパート／怖い波ーーーー！！！／ペンチマン／やりすぎ罪／怖くない波ーーーー！！！,ナポ男（hacchiが主に）制作のオリジナルスタンプ発表会　トークテーマ　・すぎるのサイコパス裁判・呪怨について,
#48,「タカシのえじき」ゲームで遊ぼう,2018/1/27,110分～,ナポリ,実写／ボドゲ回,蘭たん文学コレクション／コナン回／かにみそ／素直になんでやねん／ﾘｮｳｶｲｼﾀ／例のアレ(ねじねじ)／冒頭！？／カッパくん,タカシのえじきで遊ぼう！　トークテーマ　・JKJC流行語大賞2017・無駄遣い王決定戦,コナン／ハゲタカのえじき
#49,shu3の下ネタテキストサイト発掘回,2018/2/3,100分～,shu3,,イマジナリー部員／逆圧迫面接／なんで？／ども！／仕事とお金どっちが大事ですか？／ﾄｯﾎﾟｷﾞｨ／みさくらshu3／神回,shu3の黒歴史　トークテーマ　今週はリスナーお便りスペシャル,ファッション／
#50,すぎる製作の理想のラノベ,2018/2/10,100分～,すぎる,オリキャラ／紙芝居,コケジンちゃん／電子ドラッグ／転生したらコケジン女王だった件／セルフカット／二次元のhacchi／パンチパーマ／29:47／ｴｯ…／絶句,すぎる理想のラノベ発表会　トークテーマ　・来週の男たち不採用ネタ振り返り・男性二次元遍歴,電子ドラッグ
#51,目指せ! hacchiマスター!!,2018/2/17,90分～,hacchi,実写,チョコレートパーシー／BDK／ん！！／キスして！！／昭和生まれの猫語／にゃろめ／神回／ご蘭心／いやだ！！！, hacchiクイズ王は誰だトークテーマ・穴埋めクイズ第二弾・世の中はオリンピック一色ですが,hacchiの手／穴埋め回／
#52,蘭たんプレゼンツ！shu3 vs すぎるのイケメン乙女ゲーバトル！,2018/2/24,100分～,蘭たん,自作ゲーム／オリキャラ,神回／クラッシュバンディク～♪／ホンマええなぁナポリって／有料拷問／俺のだ／W桑原／雑魚ぉ?／ラ↑ーメン／兄弟,蘭たんがshu3とすぎるをイケメンプロデューストークテーマ・ナポ男の兄妹・それじゃあ3月に集まりましょう・・・,
#53,卒業！？さよならshu3,2018/3/3,80分～,shu3,歌回,ｽﾃﾝﾊﾞｰｲ／神回／神曲／shu3やめへんで／いきがい・巻き貝・ほら貝／広島行ったろうかな／金の話／41:26／ご蘭心,shu3卒業！？　トークテーマ　・チャンネル一周年の振り返り・二周年目にまでやりたいこと・今だから聞いてみたいこと,
